239 SJUU 21.6055 65.508 239_PLOT_RESULTS_stereo_SJUU.eps 7 9 0
240 SKAR 8.304 60.68 240_PLOT_RESULTS_stereo_SKAR.eps 2 18 0
241 SLIT 22.2905 57.6287 241_PLOT_RESULTS_stereo_SLIT.eps 20 39 0
242 SOLU 17.258 63.247 242_PLOT_RESULTS_stereo_SOLU.eps 9 12 0
243 STAV 5.702 58.935 243_PLOT_RESULTS_stereo_STAV.eps 4 14 0
244 STEI 15.242 67.93 244_PLOT_RESULTS_stereo_STEI.eps 7 31 0
245 STRU 11.1825 59.0345 245_PLOT_RESULTS_stereo_STRU.eps 1 24 0
246 SUE 4.761 61.057 246_PLOT_RESULTS_stereo_SUE.eps 0 18 0
247 SUF 26.1506 62.7191 247_PLOT_RESULTS_stereo_SUF.eps 19 53 0
248 SVAU 19.575 64.494 248_PLOT_RESULTS_stereo_SVAU.eps 3 22 0
249 TBLU 10.4345 63.4197 249_PLOT_RESULTS_stereo_TBLU.eps 1 28 0
250 TJOU 11.625 58.032 250_PLOT_RESULTS_stereo_TJOU.eps 3 13 0
251 TOF 24.33 66.08 251_PLOT_RESULTS_stereo_TOF.eps 15 15 0
252 TRO 18.9077 69.6345 252_PLOT_RESULTS_stereo_TRO.eps 46 12 0
253 UDD 13.607 60.09 253_PLOT_RESULTS_stereo_UDD.eps 6 41 0
254 UMAU 20.6779 63.8829 254_PLOT_RESULTS_stereo_UMAU.eps 4 22 0
255 UPP 17.627 59.858 255_PLOT_RESULTS_stereo_UPP.eps 1 49 0
256 VADS 29.76 70.08 256_PLOT_RESULTS_stereo_VADS.eps 1 12 0
257 VAF 22.6715 63.0422 257_PLOT_RESULTS_stereo_VAF.eps 26 36 12
258 VAG 18.2492 64.4968 258_PLOT_RESULTS_stereo_VAG.eps 7 5 0
259 VANU 12.0727 58.4921 259_PLOT_RESULTS_stereo_VANU.eps 7 21 0
260 VIKU 16.6992 58.5017 260_PLOT_RESULTS_stereo_VIKU.eps 6 12 0
261 VJF 27.555 60.5388 261_PLOT_RESULTS_stereo_VJF.eps 16 70 0
262 VOR 16.013 64.4314 262_PLOT_RESULTS_stereo_VOR.eps 1 1 0
263 VRF 29.609 67.748 263_PLOT_RESULTS_stereo_VRF.eps 29 43 0
264 VSTU 16.5363 57.66 264_PLOT_RESULTS_stereo_VSTU.eps 5 22 0
265 VSU 26.7347 58.462 265_PLOT_RESULTS_stereo_VSU.eps 0 5 0
266 VXJU 14.9391 56.9212 266_PLOT_RESULTS_stereo_VXJU.eps 6 27 0
